id;emn_id;type;agreement;start_date;end_date;change_date;quarterly_fee;one_time_fee;invoice_text
1;Nepalese Rupee;Home clicks-and-mortar;Trinidad and Tobago Rhode Island;2021-03-27;2021-03-26;2021-03-26;Buckinghamshire transmitter copying;Auto Loan Account;sensor Applications Reduced
2;Outdoors black;Bedfordshire Moldovan Leu;Rubber methodology green;2021-03-27;2021-03-27;2021-03-27;pixel;Forward Plastic;Rhode Island Kentucky Fantastic
3;Extended Field hacking;ivory streamline Tuna;Zimbabwe;2021-03-27;2021-03-27;2021-03-26;SCSI Oregon Berkshire;incubate extend silver;Realigned networks models
4;Automotive optical Metal;compress Solutions Officer;Rand Loti primary;2021-03-27;2021-03-26;2021-03-26;Borders bluetooth Small;Pula;mint green Lodge AGP
5;Plastic silver;Robust Executive;Dynamic Principal;2021-03-27;2021-03-27;2021-03-26;Face to face Cordoba Oro fault-tolerant;Analyst Credit Card Account;Nevada
6;Gloves National Hawaii;Unbranded Plastic Computer navigating;Diverse Avon Checking Account;2021-03-27;2021-03-26;2021-03-27;connecting;Chief hack;GB Customizable program
7;Centralized fault-tolerant Generic Wooden Chips;transmit Clothing Applications;Sports;2021-03-27;2021-03-27;2021-03-27;Fantastic copy Harbors;deposit deposit;Optimization
8;Unbranded Soft Chips;Oklahoma National;Nauru synthesizing;2021-03-27;2021-03-26;2021-03-26;pixel;JSON Auto Loan Account;enable USB
9;input primary redundant;Courts;District Agent;2021-03-26;2021-03-27;2021-03-26;Compatible;Practical embrace policy;invoice
10;array;Clothing program transmitting;Dominica Mill;2021-03-27;2021-03-26;2021-03-26;Persistent Ohio;purple Pizza;impactful
